#Column	separation	(F9.2)	Distance from master source to user source	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F9.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	hard_hm	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio	(master_source.hard_hm)	[""]	[]
#Column	hard_hm_lolim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% lower confidence limit)	(master_source.hard_hm_lolim)	[""]	[]
#Column	hard_hm_hilim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% upper confidence limit)	(master_source.hard_hm_hilim)	[""]	[]
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	["s"]	[]
separation	name	ra	dec	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	hard_hm	hard_hm_lolim	hard_hm_hilim	acis_time
    45.72	 2CXO J174536.8-290047	 17 45 36.87	-29 00 47.22	     0.71	     0.71	      0.0	    91.39	                TRUE	   0.9994	   0.9738	   1.0000	1747554.4
    46.07	 2CXO J174539.1-290112	 17 45 39.15	-29 01 12.72	     0.72	     0.72	    109.3	    51.11	                TRUE	   0.9669	   0.9300	   0.9925	2423650.3
    46.16	 2CXO J174539.9-285942	 17 45 39.93	-28 59 42.01	     0.73	     0.72	    163.5	    29.44	                TRUE	         	         	         	2521026.4
    46.37	 2CXO J174537.1-290055	 17 45 37.19	-29 00 55.53	     0.74	     0.73	     56.7	    92.63	                TRUE	   0.9994	   0.9375	   1.0000	1793220.2
    46.44	 2CXO J174539.7-290114	 17 45 39.70	-29 01 14.39	     0.73	     0.73	     59.2	    41.87	                TRUE	   0.9994	   0.9438	   1.0000	2493928.1
    46.74	 2CXO J174543.1-290004	 17 45 43.13	-29 00 04.85	     0.71	     0.71	      0.0	    27.02	                TRUE	   0.9994	   0.9813	   1.0000	1564131.6
    47.47	 2CXO J174540.0-285940	 17 45 40.06	-28 59 40.68	     0.75	     0.72	     91.2	    31.65	                TRUE	         	         	         	2521026.4
    47.93	 2CXO J174541.1-290113	 17 45 41.17	-29 01 13.71	     0.73	     0.73	    116.9	    38.00	                TRUE	   0.9494	   0.9213	   0.9738	2370372.5
    47.94	 2CXO J174541.7-285945	 17 45 41.73	-28 59 45.64	     0.72	     0.72	     84.1	    34.80	                TRUE	   0.9994	   0.9800	   1.0000	2027292.6
    48.14	 2CXO J174539.9-285940	 17 45 39.92	-28 59 40.03	     0.72	     0.72	    131.9	    27.82	                TRUE	         	         	         	2521026.4
    48.29	 2CXO J174538.8-285942	 17 45 38.82	-28 59 42.57	     0.73	     0.73	    177.1	    26.66	                TRUE	   0.9994	   0.9425	   1.0000	2441754.5
    48.32	 2CXO J174538.9-290114	 17 45 38.91	-29 01 14.14	     0.73	     0.72	     61.4	    52.14	                TRUE	   0.9994	   0.9176	   1.0000	2330806.3
    48.71	 2CXO J174543.2-290003	 17 45 43.26	-29 00 03.89	     0.71	     0.71	      0.0	    27.53	                TRUE	   0.9994	   0.9825	   1.0000	1564131.6
    48.91	 2CXO J174536.5-290009	 17 45 36.58	-29 00 09.97	     0.75	     0.73	     43.5	    21.13	                TRUE	   0.9994	   0.9650	   1.0000	1692431.7
    49.08	 2CXO J174541.0-285940	 17 45 41.02	-28 59 40.79	     0.73	     0.72	     11.3	    34.10	                TRUE	   0.9994	   0.9463	   1.0000	2288597.3
    49.63	 2CXO J174539.4-290117	 17 45 39.44	-29 01 17.15	     0.72	     0.72	     42.5	    44.23	                TRUE	   0.9994	   0.9038	   1.0000	2423650.3
    49.78	 2CXO J174537.0-290058	 17 45 37.01	-29 00 58.23	     0.72	     0.72	    123.7	   108.56	                TRUE	   0.9994	   0.9613	   1.0000	1793226.4
    49.96	 2CXO J174536.4-290043	 17 45 36.41	-29 00 43.35	     0.71	     0.71	      0.0	    65.74	                TRUE	   0.9919	   0.9825	   0.9975	1728051.2
    50.34	 2CXO J174538.6-290114	 17 45 38.63	-29 01 14.99	     0.76	     0.72	    128.8	    60.97	                TRUE	   0.9994	   0.9500	   1.0000	2242706.6
    50.63	 2CXO J174539.3-285938	 17 45 39.40	-28 59 38.22	     0.71	     0.71	      0.0	    28.61	                TRUE	         	         	         	2525034.4
    50.91	 2CXO J174537.0-285955	 17 45 37.04	-28 59 55.84	     0.73	     0.73	     14.5	    19.58	                TRUE	   0.9994	   0.7989	   1.0000	1780777.9
    51.90	 2CXO J174539.3-290119	 17 45 39.30	-29 01 19.15	     0.74	     0.73	     48.1	    40.05	                TRUE	   0.9182	   0.8526	   0.9725	2423650.3
    52.24	 2CXO J174543.4-290056	 17 45 43.40	-29 00 56.09	     0.74	     0.73	     88.8	    32.24	                TRUE	   0.9257	   0.8626	   0.9775	1759636.8
    53.41	 2CXO J174536.4-290053	 17 45 36.47	-29 00 53.77	     0.72	     0.72	     71.3	   121.67	                TRUE	   0.9994	   0.9700	   1.0000	1747551.3
    53.46	 2CXO J174541.0-285936	 17 45 41.02	-28 59 36.27	     0.72	     0.72	     67.8	    32.07	                TRUE	   0.9706	   0.9375	   0.9938	2288597.3
    53.56	 2CXO J174543.3-290059	 17 45 43.38	-29 00 59.01	     0.73	     0.72	    114.3	    31.68	                TRUE	         	         	         	1759636.8
    53.87	 2CXO J174538.9-290120	 17 45 38.96	-29 01 20.14	     0.74	     0.73	      6.0	    56.16	                TRUE	         	         	         	2330806.3
